episode,reward,total_burned,epsilon,steps,q_table_size
1,-385.0,427,0.99,24,16
2,-381.0,429,0.9801,25,27
3,-340.0,388,0.9703,30,41
4,-413.0,461,0.9606,21,50
5,-364.0,408,0.951,22,62
6,-375.0,419,0.9415,19,72
7,-325.0,361,0.9321,16,76
8,-382.0,426,0.9227,23,83
9,-413.0,459,0.9135,21,90
10,-498.0,550,0.9044,29,96
11,-351.0,403,0.8953,22,104
12,-341.0,389,0.8864,22,111
13,-372.0,430,0.8775,21,117
14,-409.0,455,0.8687,24,123
15,-469.0,503,0.8601,27,129
16,-367.0,399,0.8515,20,138
17,-398.0,442,0.8429,20,145
18,-267.0,293,0.8345,26,155
19,-306.0,350,0.8262,24,163
20,-333.0,381,0.8179,25,176
21,-346.0,384,0.8097,19,182
22,-378.0,446,0.8016,31,191
23,-394.0,440,0.7936,21,197
24,-387.0,435,0.7857,24,204
25,-429.0,481,0.7778,26,208
26,-499.0,557,0.77,29,212
27,-406.0,468,0.7623,25,217
28,-247.0,281,0.7547,23,224
29,-415.0,455,0.7472,23,231
30,-401.0,459,0.7397,26,237
31,-308.0,352,0.7323,26,254
32,-212.0,252,0.725,28,265
33,-466.0,510,0.7177,22,267
34,-368.0,410,0.7106,23,271
35,-404.0,456,0.7034,27,271
36,-174.0,220,0.6964,17,279
37,-273.0,327,0.6894,32,289
38,-309.0,349,0.6826,25,297
39,-384.0,418,0.6757,19,303
40,-352.0,408,0.669,27,314
41,-432.0,494,0.6623,25,321
42,-404.0,444,0.6557,19,326
43,-371.0,425,0.6491,25,331
44,-262.0,310,0.6426,20,336
45,-419.0,465,0.6362,23,338
46,-336.0,396,0.6298,25,343
47,-375.0,427,0.6235,25,346
48,-371.0,415,0.6173,28,352
49,-361.0,399,0.6111,19,355
50,-357.0,413,0.605,23,361
51,-400.0,442,0.599,24,365
52,-360.0,408,0.593,23,371
53,-355.0,405,0.587,23,375
54,-421.0,459,0.5812,24,378
55,-422.0,462,0.5754,21,381
56,-410.0,464,0.5696,33,384
57,-411.0,465,0.5639,26,394
58,-337.0,389,0.5583,26,397
59,-406.0,452,0.5527,19,398
60,-352.0,400,0.5472,23,401
61,-337.0,391,0.5417,24,406
62,-444.0,488,0.5363,22,408
